__run_id,__done,Block_Type,Library_Name,Timestamp_Start,Total_Energy_J,CPU_Energy_J,GPU_Energy_J,Time_Taken_s,Accuracy_Pct,Model_Name
run_0_repetition_0,DONE,GPU_Block,TF,2025-10-21 19:24:04,351.65856950531,3.9214612241854896,347.73710828112456,21.024008965001485,99.12280701754386,TensorFlow Neural Network GPU
run_1_repetition_0,DONE,GPU_Block,PT,2025-10-21 19:24:31,168.65742359117277,2.1947472706759057,166.46267632049685,11.797496549999778,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_1,DONE,GPU_Block,TF,2025-10-21 19:25:04,255.27401732145637,3.1743380482588046,252.09967927319755,17.079924069999834,97.36842105263158,TensorFlow Neural Network GPU
run_1_repetition_1,DONE,GPU_Block,PT,2025-10-21 19:25:30,150.05359870959413,1.9145572592056117,148.1390414503885,10.359373527999196,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_2,DONE,GPU_Block,TF,2025-10-21 19:26:04,335.85922984551246,3.0724666038394473,332.786763241673,16.531880935999652,97.36842105263158,TensorFlow Neural Network GPU
run_1_repetition_2,DONE,GPU_Block,PT,2025-10-21 19:26:30,151.15064081983752,1.9366433636325844,149.21399745620494,10.427253490999647,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_3,DONE,GPU_Block,TF,2025-10-21 19:27:02,308.2689050029577,3.0401992788369396,305.22870572412074,16.401327551000577,99.12280701754386,TensorFlow Neural Network GPU
run_1_repetition_3,DONE,GPU_Block,PT,2025-10-21 19:27:29,151.89858996149204,1.9465447408816434,149.9520452206104,10.449619876000725,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_4,DONE,GPU_Block,TF,2025-10-21 19:28:02,328.63685079924574,3.0744963987673732,325.56235440047834,16.542802560999917,98.24561403508773,TensorFlow Neural Network GPU
run_1_repetition_4,DONE,GPU_Block,PT,2025-10-21 19:28:28,152.4845517986392,1.9280807270422402,150.55647107159695,10.411927459999788,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_5,DONE,GPU_Block,TF,2025-10-21 19:29:01,240.83639332664347,3.0891250902939102,237.74726823634956,16.556216450999273,95.6140350877193,TensorFlow Neural Network GPU
run_1_repetition_5,DONE,GPU_Block,PT,2025-10-21 19:29:27,150.4339647403185,1.9371041107297375,148.49686062958875,10.398939819999214,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_6,DONE,GPU_Block,TF,2025-10-21 19:30:00,293.47447458063255,3.1138467194394197,290.3606278611931,16.677807459000178,97.36842105263158,TensorFlow Neural Network GPU
run_1_repetition_6,DONE,GPU_Block,PT,2025-10-21 19:30:25,150.25561632822738,1.9167755781258105,148.33884075010155,10.337201446000108,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_7,DONE,GPU_Block,TF,2025-10-21 19:30:59,300.83696886021727,3.0732806887502098,297.76368817146704,16.48746889100039,97.36842105263158,TensorFlow Neural Network GPU
run_1_repetition_7,DONE,GPU_Block,PT,2025-10-21 19:31:25,150.95254215788967,1.9375479910544078,149.01499416683527,10.384320150998974,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_8,DONE,GPU_Block,TF,2025-10-21 19:31:57,333.80746169017806,3.0617275836103297,330.74573410656774,16.463202295000883,98.24561403508773,TensorFlow Neural Network GPU
run_1_repetition_8,DONE,GPU_Block,PT,2025-10-21 19:32:23,150.3132161694897,1.9098898782838212,148.40332629120587,10.32730176000041,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_9,DONE,GPU_Block,TF,2025-10-21 19:32:57,337.60928816983903,3.076823540303856,334.5324646295352,16.51196765200075,97.36842105263158,TensorFlow Neural Network GPU
run_1_repetition_9,DONE,GPU_Block,PT,2025-10-21 19:33:23,152.1781978872126,1.9267206204841736,150.25147726672844,10.3908352189992,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_10,DONE,GPU_Block,TF,2025-10-21 19:33:56,296.81859013002895,3.098719865702746,293.71987026432623,16.51039180800035,97.36842105263158,TensorFlow Neural Network GPU
run_1_repetition_10,DONE,GPU_Block,PT,2025-10-21 19:34:22,153.0950109185493,1.936689961383746,151.15832095716556,10.410352683000383,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_11,DONE,GPU_Block,TF,2025-10-21 19:34:55,317.79293142724595,3.076027154283243,314.7169042729627,16.529249174000142,98.24561403508773,TensorFlow Neural Network GPU
run_1_repetition_11,DONE,GPU_Block,PT,2025-10-21 19:35:21,153.22723500534838,1.9324685170429095,151.29476648830547,10.391124071999002,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_12,DONE,GPU_Block,TF,2025-10-21 19:35:53,286.8223510368913,3.054298365408753,283.76805267148256,16.45032189399899,96.49122807017544,TensorFlow Neural Network GPU
run_1_repetition_12,DONE,GPU_Block,PT,2025-10-21 19:36:20,152.8407558982544,1.9335891387754207,150.90716675947897,10.40739081099855,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_13,DONE,GPU_Block,TF,2025-10-21 19:36:52,347.1650999887817,3.060930073748552,344.10416991503314,16.464314350001587,96.49122807017544,TensorFlow Neural Network GPU
run_1_repetition_13,DONE,GPU_Block,PT,2025-10-21 19:37:19,152.23977762527852,1.933066872442723,150.30671075283578,10.387471371999709,97.36842105263158,PyTorch Neural Network GPU
run_0_repetition_14,DONE,GPU_Block,TF,2025-10-21 19:37:52,318.9423687348002,3.0883467564769127,315.85402197832326,16.56287477600017,97.36842105263158,TensorFlow Neural Network GPU
