Date,CPU Utilization,Total Power,CPU Power,GPU Power
2025-10-23 1:5:28.216,0.36855670103093,3.95688597166343,3.95688597166343,0.00000000000000
2025-10-23 1:5:29.217,0.27959697732997,3.55350462346138,3.55350462346138,0.00000000000000
2025-10-23 1:5:30.218,0.21590909090909,3.26471656949939,3.26471656949939,0.00000000000000
2025-10-23 1:5:31.219,0.27959697732997,3.55350462346138,3.55350462346138,0.00000000000000
2025-10-23 1:5:32.220,0.27525252525253,3.53380502387526,3.53380502387526,0.00000000000000
2025-10-23 1:5:33.221,0.28426395939086,3.57466671162259,3.57466671162259,0.00000000000000
2025-10-23 1:5:34.223,0.32745591939547,3.77051748918024,3.77051748918024,0.00000000000000
2025-10-23 1:5:35.224,0.29072681704261,3.60397206604974,3.60397206604974,0.00000000000000
2025-10-23 1:5:36.225,0.28680203045685,3.58617540888286,3.58617540888286,0.00000000000000
2025-10-23 1:5:37.226,0.27777777777778,3.54525559640189,3.54525559640189,0.00000000000000
2025-10-23 1:5:38.227,0.28030303030303,3.55670616892853,3.55670616892853,0.00000000000000
2025-10-23 1:5:39.228,0.28282828282828,3.56815674145516,3.56815674145516,0.00000000000000
2025-10-23 1:5:40.230,0.35750000000000,3.90675017106770,3.90675017106770,0.00000000000000
2025-10-23 1:5:41.231,0.38250000000000,4.02011083908136,4.02011083908136,0.00000000000000
2025-10-23 1:5:42.232,0.37468354430380,3.98466769351253,3.98466769351253,0.00000000000000
2025-10-23 1:5:43.233,0.38693467336683,4.04021954049283,4.04021954049283,0.00000000000000
2025-10-23 1:5:44.234,0.38557213930348,4.03404122962832,4.03404122962832,0.00000000000000
2025-10-23 1:5:45.235,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:5:46.236,0.38693467336683,4.04021954049283,4.04021954049283,0.00000000000000
2025-10-23 1:5:47.237,0.38709677419355,4.04095457481291,4.04095457481291,0.00000000000000
2025-10-23 1:5:48.238,0.37626262626263,3.99182792494058,3.99182792494058,0.00000000000000
2025-10-23 1:5:49.239,0.38250000000000,4.02011083908136,4.02011083908136,0.00000000000000
2025-10-23 1:5:50.240,0.39152119700748,4.06101679584340,4.06101679584340,0.00000000000000
2025-10-23 1:5:51.241,0.37844611528822,4.00172879592225,4.00172879592225,0.00000000000000
2025-10-23 1:5:52.242,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:5:53.243,0.39195979899497,4.06300560441518,4.06300560441518,0.00000000000000
2025-10-23 1:5:54.244,0.38957816377171,4.05220625402022,4.05220625402022,0.00000000000000
2025-10-23 1:5:55.245,0.38805970149254,4.04532089808739,4.04532089808739,0.00000000000000
2025-10-23 1:5:56.246,0.39303482587065,4.06788023500553,4.06788023500553,0.00000000000000
2025-10-23 1:5:57.251,0.38250000000000,4.02011083908136,4.02011083908136,0.00000000000000
2025-10-23 1:5:58.252,0.37939698492462,4.00604044460931,4.00604044460931,0.00000000000000
2025-10-23 1:5:59.253,0.37244897959184,3.97453522357383,3.97453522357383,0.00000000000000
2025-10-23 1:6:0.254,0.39312039312039,4.06826823342918,4.06826823342918,0.00000000000000
2025-10-23 1:6:1.255,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:6:2.256,0.37783375314861,3.99895208467377,3.99895208467377,0.00000000000000
2025-10-23 1:6:3.257,0.41518987341772,4.16834067459797,4.16834067459797,0.00000000000000
2025-10-23 1:6:4.258,0.38902743142145,4.04970899853530,4.04970899853530,0.00000000000000
2025-10-23 1:6:5.259,0.37939698492462,4.00604044460931,4.00604044460931,0.00000000000000
2025-10-23 1:6:6.260,0.38227848101266,4.01910637746605,4.01910637746605,0.00000000000000
2025-10-23 1:6:7.261,0.38190954773869,4.01743347657049,4.01743347657049,0.00000000000000
2025-10-23 1:6:8.262,0.39393939393939,4.07198193262701,4.07198193262701,0.00000000000000
2025-10-23 1:6:9.263,0.37939698492462,4.00604044460931,4.00604044460931,0.00000000000000
2025-10-23 1:6:10.264,0.38596491228070,4.03582222991133,4.03582222991133,0.00000000000000
2025-10-23 1:6:11.265,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:6:12.267,0.39847715736041,4.09255808833477,4.09255808833477,0.00000000000000
2025-10-23 1:6:13.268,0.38902743142145,4.04970899853530,4.04970899853530,0.00000000000000
2025-10-23 1:6:14.269,0.40201005025126,4.10857773225987,4.10857773225987,0.00000000000000
2025-10-23 1:6:15.270,0.37721518987342,3.99614725483037,3.99614725483037,0.00000000000000
2025-10-23 1:6:16.271,0.38693467336683,4.04021954049283,4.04021954049283,0.00000000000000
2025-10-23 1:6:17.272,0.37309644670051,3.97747111573206,3.97747111573206,0.00000000000000
2025-10-23 1:6:18.273,0.37783375314861,3.99895208467377,3.99895208467377,0.00000000000000
2025-10-23 1:6:19.273,0.38250000000000,4.02011083908136,4.02011083908136,0.00000000000000
2025-10-23 1:6:20.274,0.37150127226463,3.97023791414609,3.97023791414609,0.00000000000000
2025-10-23 1:6:21.275,0.38095238095238,4.01309327391861,4.01309327391861,0.00000000000000
2025-10-23 1:6:22.276,0.42929292929293,4.23228994799987,4.23228994799987,0.00000000000000
2025-10-23 1:6:23.277,0.37404580152672,3.98177589562331,3.98177589562331,0.00000000000000
2025-10-23 1:6:24.278,0.38557213930348,4.03404122962832,4.03404122962832,0.00000000000000
2025-10-23 1:6:25.279,0.37468354430380,3.98466769351253,3.98466769351253,0.00000000000000
2025-10-23 1:6:26.280,0.39185750636132,4.06254176596383,4.06254176596383,0.00000000000000
2025-10-23 1:6:27.281,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:6:28.282,0.38653366583541,4.03840120122721,4.03840120122721,0.00000000000000
2025-10-23 1:6:29.283,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:6:30.284,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:6:31.285,0.38847117794486,4.04718670790768,4.04718670790768,0.00000000000000
2025-10-23 1:6:32.286,0.38653366583541,4.03840120122721,4.03840120122721,0.00000000000000
2025-10-23 1:6:33.287,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:6:34.288,0.37244897959184,3.97453522357383,3.97453522357383,0.00000000000000
2025-10-23 1:6:35.289,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:6:36.290,0.38944723618090,4.05161257245400,4.05161257245400,0.00000000000000
2025-10-23 1:6:37.291,0.38805970149254,4.04532089808739,4.04532089808739,0.00000000000000
2025-10-23 1:6:38.292,0.36923076923077,3.95994248452026,3.95994248452026,0.00000000000000
2025-10-23 1:6:39.293,0.42346938775510,4.20588352564253,4.20588352564253,0.00000000000000
2025-10-23 1:6:40.294,0.63358778625954,5.15865000629954,5.15865000629954,0.00000000000000
2025-10-23 1:6:41.295,0.46582278481013,4.39793190095476,4.39793190095476,0.00000000000000
2025-10-23 1:6:42.296,0.37150127226463,3.97023791414609,3.97023791414609,0.00000000000000
2025-10-23 1:6:43.297,0.38287153652393,4.02179554422313,4.02179554422313,0.00000000000000
2025-10-23 1:6:44.298,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:6:45.299,0.39000000000000,4.05411903948546,4.05411903948546,0.00000000000000
2025-10-23 1:6:46.300,0.38944723618090,4.05161257245400,4.05161257245400,0.00000000000000
2025-10-23 1:6:47.301,0.37404580152672,3.98177589562331,3.98177589562331,0.00000000000000
2025-10-23 1:6:48.302,0.37404580152672,3.98177589562331,3.98177589562331,0.00000000000000
2025-10-23 1:6:49.303,0.39108910891089,4.05905752403259,4.05905752403259,0.00000000000000
2025-10-23 1:6:50.304,0.38287153652393,4.02179554422313,4.02179554422313,0.00000000000000
2025-10-23 1:6:51.305,0.39108910891089,4.05905752403259,4.05905752403259,0.00000000000000
2025-10-23 1:6:52.306,0.39205955334988,4.06345793322753,4.06345793322753,0.00000000000000
2025-10-23 1:6:53.307,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:6:54.308,0.38287153652393,4.02179554422313,4.02179554422313,0.00000000000000
2025-10-23 1:6:55.309,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:6:56.310,0.38944723618090,4.05161257245400,4.05161257245400,0.00000000000000
2025-10-23 1:6:57.311,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:6:58.312,0.40389294403893,4.11711557616264,4.11711557616264,0.00000000000000
2025-10-23 1:6:59.313,0.38653366583541,4.03840120122721,4.03840120122721,0.00000000000000
2025-10-23 1:7:0.314,0.38750000000000,4.04278297268410,4.04278297268410,0.00000000000000
2025-10-23 1:7:1.315,0.38805970149254,4.04532089808739,4.04532089808739,0.00000000000000
2025-10-23 1:7:2.316,0.53924050632911,4.73083917917211,4.73083917917211,0.00000000000000
2025-10-23 1:7:3.317,0.39000000000000,4.05411903948546,4.05411903948546,0.00000000000000
2025-10-23 1:7:4.318,0.37878787878788,4.00327849746721,4.00327849746721,0.00000000000000
2025-10-23 1:7:5.319,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:7:6.320,0.38847117794486,4.04718670790768,4.04718670790768,0.00000000000000
2025-10-23 1:7:7.321,0.39506172839506,4.07707107597218,4.07707107597218,0.00000000000000
2025-10-23 1:7:8.322,0.39506172839506,4.07707107597218,4.07707107597218,0.00000000000000
2025-10-23 1:7:9.323,0.38095238095238,4.01309327391861,4.01309327391861,0.00000000000000
2025-10-23 1:7:10.324,0.38107416879795,4.01364551197982,4.01364551197982,0.00000000000000
2025-10-23 1:7:11.325,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:7:12.326,0.39356435643564,4.07028135254880,4.07028135254880,0.00000000000000
2025-10-23 1:7:13.327,0.39540816326531,4.07864195950475,4.07864195950475,0.00000000000000
2025-10-23 1:7:14.328,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:7:15.329,0.41293532338308,4.15811758267810,4.15811758267810,0.00000000000000
2025-10-23 1:7:16.330,0.39500000000000,4.07679117308820,4.07679117308820,0.00000000000000
2025-10-23 1:7:17.331,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:7:18.332,0.38902743142145,4.04970899853530,4.04970899853530,0.00000000000000
2025-10-23 1:7:19.333,0.38709677419355,4.04095457481291,4.04095457481291,0.00000000000000
2025-10-23 1:7:20.334,0.38035264483627,4.01037381444845,4.01037381444845,0.00000000000000
2025-10-23 1:7:21.335,0.37404580152672,3.98177589562331,3.98177589562331,0.00000000000000
2025-10-23 1:7:22.336,0.42964824120603,4.23390108383276,4.23390108383276,0.00000000000000
2025-10-23 1:7:23.337,0.37878787878788,4.00327849746721,4.00327849746721,0.00000000000000
2025-10-23 1:7:24.338,0.38902743142145,4.04970899853530,4.04970899853530,0.00000000000000
2025-10-23 1:7:25.339,0.38131313131313,4.01472906999385,4.01472906999385,0.00000000000000
2025-10-23 1:7:26.340,0.39303482587065,4.06788023500553,4.06788023500553,0.00000000000000
2025-10-23 1:7:27.341,0.38227848101266,4.01910637746605,4.01910637746605,0.00000000000000
2025-10-23 1:7:28.342,0.37500000000000,3.98610263867726,3.98610263867726,0.00000000000000
2025-10-23 1:7:29.343,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:7:30.344,0.37309644670051,3.97747111573206,3.97747111573206,0.00000000000000
2025-10-23 1:7:31.345,0.37626262626263,3.99182792494058,3.99182792494058,0.00000000000000
2025-10-23 1:7:32.346,0.37275064267352,3.97590309271202,3.97590309271202,0.00000000000000
2025-10-23 1:7:33.347,0.38653366583541,4.03840120122721,4.03840120122721,0.00000000000000
2025-10-23 1:7:34.348,0.38957816377171,4.05220625402022,4.05220625402022,0.00000000000000
2025-10-23 1:7:35.349,0.38403990024938,4.02709340391911,4.02709340391911,0.00000000000000
2025-10-23 1:7:36.350,0.38847117794486,4.04718670790768,4.04718670790768,0.00000000000000
2025-10-23 1:7:37.355,0.38190954773869,4.01743347657049,4.01743347657049,0.00000000000000
2025-10-23 1:7:38.357,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:7:39.358,0.38653366583541,4.03840120122721,4.03840120122721,0.00000000000000
2025-10-23 1:7:40.358,0.38500000000000,4.03144690588273,4.03144690588273,0.00000000000000
2025-10-23 1:7:41.359,0.37939698492462,4.00604044460931,4.00604044460931,0.00000000000000
2025-10-23 1:7:42.361,0.37783375314861,3.99895208467377,3.99895208467377,0.00000000000000
2025-10-23 1:7:43.362,0.38653366583541,4.03840120122721,4.03840120122721,0.00000000000000
2025-10-23 1:7:44.363,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:7:45.364,0.40097799511002,4.10389795385039,4.10389795385039,0.00000000000000
2025-10-23 1:7:46.365,0.38944723618090,4.05161257245400,4.05161257245400,0.00000000000000
2025-10-23 1:7:47.366,0.37084398976982,3.96725751483867,3.96725751483867,0.00000000000000
2025-10-23 1:7:48.368,0.38957816377171,4.05220625402022,4.05220625402022,0.00000000000000
2025-10-23 1:7:49.369,0.38345864661654,4.02445775191497,4.02445775191497,0.00000000000000
2025-10-23 1:7:50.370,0.37783375314861,3.99895208467377,3.99895208467377,0.00000000000000
