Date,CPU Utilization,Total Power,CPU Power,GPU Power
2025-10-23 0:1:4.125,0.44050632911392,4.28313628777636,4.28313628777636,0.00000000000000
2025-10-23 0:1:5.126,0.28172588832487,3.56315801436231,3.56315801436231,0.00000000000000
2025-10-23 0:1:6.127,0.30886075949367,3.68619909924870,3.68619909924870,0.00000000000000
2025-10-23 0:1:7.128,0.28860759493671,3.59436260870599,3.59436260870599,0.00000000000000
2025-10-23 0:1:8.129,0.28391959798995,3.57310523008476,3.57310523008476,0.00000000000000
2025-10-23 0:1:9.130,0.35064935064935,3.87568640359902,3.87568640359902,0.00000000000000
2025-10-23 0:1:10.131,0.28607594936709,3.58288304738815,3.58288304738815,0.00000000000000
2025-10-23 0:1:11.132,0.30555555555556,3.67121189419486,3.67121189419486,0.00000000000000
2025-10-23 0:1:12.133,0.34422110552764,3.84653799715290,3.84653799715290,0.00000000000000
2025-10-23 0:1:13.134,0.28354430379747,3.57140348607031,3.57140348607031,0.00000000000000
2025-10-23 0:1:14.135,0.32397959183673,3.75475433660856,3.75475433660856,0.00000000000000
2025-10-23 0:1:15.136,0.34948979591837,3.87042848764291,3.87042848764291,0.00000000000000
2025-10-23 0:1:16.137,0.41645244215938,4.17406570003668,4.17406570003668,0.00000000000000
2025-10-23 0:1:17.138,0.38676844783715,4.03946580300940,4.03946580300940,0.00000000000000
2025-10-23 0:1:18.140,0.38618925831202,4.03683951055039,4.03683951055039,0.00000000000000
2025-10-23 0:1:19.141,0.42525773195876,4.21399264138515,4.21399264138515,0.00000000000000
2025-10-23 0:1:20.142,0.39285714285714,4.06707454440131,4.06707454440131,0.00000000000000
2025-10-23 0:1:21.143,0.40512820512821,4.12271677705271,4.12271677705271,0.00000000000000
2025-10-23 0:1:22.144,0.39130434782609,4.06003350912096,4.06003350912096,0.00000000000000
2025-10-23 0:1:23.146,0.39487179487179,4.07620983632915,4.07620983632915,0.00000000000000
2025-10-23 0:1:24.147,0.37755102040816,3.99767005378070,3.99767005378070,0.00000000000000
2025-10-23 0:1:25.148,0.38717948717949,4.04132963078648,4.04132963078648,0.00000000000000
2025-10-23 0:1:26.149,0.38832487309645,4.04652329929368,4.04652329929368,0.00000000000000
2025-10-23 0:1:27.151,0.41943734015345,4.18760050125910,4.18760050125910,0.00000000000000
2025-10-23 0:1:28.152,0.39130434782609,4.06003350912096,4.06003350912096,0.00000000000000
2025-10-23 0:1:29.153,0.43701799485861,4.26731869171888,4.26731869171888,0.00000000000000
2025-10-23 0:1:30.155,0.37179487179487,3.97156921970115,3.97156921970115,0.00000000000000
2025-10-23 0:1:31.156,0.38874680306905,4.04843650983567,4.04843650983567,0.00000000000000
2025-10-23 0:1:32.157,0.40000000000000,4.09946330669093,4.09946330669093,0.00000000000000
2025-10-23 0:1:33.158,0.38931297709924,4.05100378448661,4.05100378448661,0.00000000000000
2025-10-23 0:1:34.159,0.38717948717949,4.04132963078648,4.04132963078648,0.00000000000000
2025-10-23 0:1:35.160,0.37595907928389,3.99045151340924,3.99045151340924,0.00000000000000
2025-10-23 0:1:36.161,0.39393939393939,4.07198193262701,4.07198193262701,0.00000000000000
2025-10-23 0:1:37.163,0.41071428571429,4.14804645012536,4.14804645012536,0.00000000000000
2025-10-23 0:1:38.173,0.39386189258312,4.07163050840624,4.07163050840624,0.00000000000000
2025-10-23 0:1:39.175,0.42710997442455,4.22239149911496,4.22239149911496,0.00000000000000
2025-10-23 0:1:40.176,0.64122137404580,5.19326395073119,5.19326395073119,0.00000000000000
2025-10-23 0:1:41.177,0.59644670050761,4.99023647463588,4.99023647463588,0.00000000000000
2025-10-23 0:1:42.178,0.41432225063939,4.16440650268853,4.16440650268853,0.00000000000000
2025-10-23 0:1:43.179,0.37500000000000,3.98610263867726,3.98610263867726,0.00000000000000
2025-10-23 0:1:44.181,0.39230769230769,4.06458310114826,4.06458310114826,0.00000000000000
2025-10-23 0:1:45.182,0.39185750636132,4.06254176596383,4.06254176596383,0.00000000000000
2025-10-23 0:1:46.183,0.38167938931298,4.01638984005496,4.01638984005496,0.00000000000000
2025-10-23 0:1:47.185,0.41943734015345,4.18760050125910,4.18760050125910,0.00000000000000
2025-10-23 0:1:48.186,0.37435897435897,3.98319595488204,3.98319595488204,0.00000000000000
2025-10-23 0:1:49.187,0.39086294416244,4.05803199655395,4.05803199655395,0.00000000000000
2025-10-23 0:1:50.188,0.42857142857143,4.22901835584940,4.22901835584940,0.00000000000000
2025-10-23 0:1:51.190,0.38717948717949,4.04132963078648,4.04132963078648,0.00000000000000
2025-10-23 0:1:52.191,0.41071428571429,4.14804645012536,4.14804645012536,0.00000000000000
2025-10-23 0:1:53.192,0.38520408163265,4.03237229909100,4.03237229909100,0.00000000000000
2025-10-23 0:1:54.193,0.38324873096447,4.02350590477314,4.02350590477314,0.00000000000000
2025-10-23 0:1:55.195,0.39130434782609,4.06003350912096,4.06003350912096,0.00000000000000
2025-10-23 0:1:56.196,0.37913486005089,4.00485185857774,4.00485185857774,0.00000000000000
2025-10-23 0:1:57.197,0.41943734015345,4.18760050125910,4.18760050125910,0.00000000000000
2025-10-23 0:1:58.198,0.39030612244898,4.05550712929788,4.05550712929788,0.00000000000000
2025-10-23 0:1:59.200,0.37755102040816,3.99767005378070,3.99767005378070,0.00000000000000
2025-10-23 0:2:0.201,0.44387755102041,4.29842284647002,4.29842284647002,0.00000000000000
2025-10-23 0:2:1.202,0.37500000000000,3.98610263867726,3.98610263867726,0.00000000000000
