Date,CPU Utilization,CPU Power
2025-10-23 1:24:14.243,0.29292929292929,3.23575090044758
2025-10-23 1:24:15.244,0.25440806045340,3.21479965782895
2025-10-23 1:24:16.245,0.25063291139241,3.19359992709116
2025-10-23 1:24:17.246,0.25252525252525,3.20423979182750
2025-10-23 1:24:18.247,0.25316455696203,3.18875311256277
2025-10-23 1:24:19.248,0.25126903553299,3.17795174253936
2025-10-23 1:24:20.249,0.25188916876574,3.18296995824648
2025-10-23 1:24:21.250,0.25000000000000,3.19073003676170
2025-10-23 1:24:22.251,0.30904522613065,3.39524500265747
2025-10-23 1:24:23.252,0.25252525252525,3.18585423344211
2025-10-23 1:24:24.253,0.25380710659898,2.99417022479503
2025-10-23 1:24:25.255,0.32736572890026,3.58922637732555
2025-10-23 1:24:26.256,0.34860050890585,3.64083430929136
2025-10-23 1:24:27.257,0.34096692111959,3.62964605451376
2025-10-23 1:24:28.258,0.34860050890585,3.61407936322756
2025-10-23 1:24:29.259,0.34096692111959,3.62964605451376
2025-10-23 1:24:30.260,0.35492227979275,3.68314316676387
2025-10-23 1:24:31.262,0.34183673469388,3.53888304512841
2025-10-23 1:24:32.263,0.35128205128205,3.69447271126299
2025-10-23 1:24:33.264,0.33842239185751,3.48325101247519
2025-10-23 1:24:34.273,0.35128205128205,3.70867277877299
2025-10-23 1:24:35.274,0.34693877551020,3.65943822663250
2025-10-23 1:24:36.276,0.34358974358974,3.68494647865080
2025-10-23 1:24:37.277,0.35038363171355,3.70459896107534
2025-10-23 1:24:38.278,0.34010152284264,3.58405083871150
2025-10-23 1:24:39.279,0.35128205128205,3.70867277877299
2025-10-23 1:24:40.280,0.33842239185751,3.60255914365918
2025-10-23 1:24:41.282,0.34948979591837,3.68634586065185
2025-10-23 1:24:42.283,0.34351145038168,3.65673296536834
2025-10-23 1:24:43.284,0.34605597964377,3.64152678831650
2025-10-23 1:24:44.285,0.33842239185751,3.60255914365918
2025-10-23 1:24:45.287,0.35114503816794,3.68115257861881
2025-10-23 1:24:46.288,0.34015345268542,3.63893275498996
2025-10-23 1:24:47.289,0.34595959595960,3.60210433699742
2025-10-23 1:24:48.291,0.34351145038168,3.61475085604946
2025-10-23 1:24:49.292,0.34782608695652,3.67755809274632
2025-10-23 1:24:50.293,0.34860050890585,3.66830272058353
2025-10-23 1:24:51.294,0.34358974358974,3.68494647865080
2025-10-23 1:24:52.296,0.35038363171355,3.69039889356533
2025-10-23 1:24:53.297,0.33924050632911,3.60773966845054
2025-10-23 1:24:54.298,0.34871794871795,3.66750575716618
2025-10-23 1:24:55.299,0.34263959390863,3.65277959608046
2025-10-23 1:24:56.301,0.34683544303797,3.63283074745653
2025-10-23 1:24:57.302,0.33842239185751,3.60255914365918
2025-10-23 1:24:58.303,0.35294117647059,3.68929703613214
2025-10-23 1:24:59.304,0.34183673469388,3.66232887127609
2025-10-23 1:25:0.306,0.34948979591837,3.67233512737531
2025-10-23 1:25:1.307,0.33928571428571,3.64955730776254
2025-10-23 1:25:2.308,0.35475578406170,3.67021921337518
2025-10-23 1:25:3.309,0.34860050890585,3.66830272058353
2025-10-23 1:25:4.311,0.34183673469388,3.64786109560885
2025-10-23 1:25:5.312,0.35038363171355,3.69039889356533
2025-10-23 1:25:6.313,0.34010152284264,3.61164388473630
2025-10-23 1:25:7.315,0.34605597964377,3.64152678831650
2025-10-23 1:25:8.316,0.34190231362468,3.59058010253399
2025-10-23 1:25:9.321,0.34683544303797,3.63283074745653
2025-10-23 1:25:10.322,0.34010152284264,3.57052841880531
2025-10-23 1:25:11.323,0.34860050890585,3.66830272058353
2025-10-23 1:25:12.324,0.34183673469388,3.64786109560885
2025-10-23 1:25:13.326,0.34771573604061,3.65046562221139
2025-10-23 1:25:14.327,0.34096692111959,3.62964605451376
2025-10-23 1:25:15.328,0.35294117647059,3.71733611176654
2025-10-23 1:25:16.329,0.34615384615385,3.69766789420452
2025-10-23 1:25:17.330,0.34693877551020,3.67353464401470
2025-10-23 1:25:18.332,0.34782608695652,3.64955321021369
2025-10-23 1:25:19.333,0.34096692111959,3.62964605451376
2025-10-23 1:25:20.334,0.34948979591837,3.68634586065185
2025-10-23 1:25:21.335,0.33928571428571,3.62063825161177
2025-10-23 1:25:22.336,0.35114503816794,3.61420029865847
2025-10-23 1:25:23.338,0.34183673469388,3.64786109560885
2025-10-23 1:25:24.346,0.34517766497462,3.47226378514055
2025-10-23 1:25:25.347,0.34263959390863,3.63859645104030
2025-10-23 1:25:26.349,0.34605597964377,3.64152678831650
2025-10-23 1:25:27.350,0.34358974358974,3.67027776165486
2025-10-23 1:25:28.351,0.35294117647059,3.68929703613214
2025-10-23 1:25:29.353,0.33924050632911,3.60773966845054
2025-10-23 1:25:30.354,0.35128205128205,3.72306604448042
2025-10-23 1:25:31.355,0.35218508997429,3.72716080725621
2025-10-23 1:25:32.356,0.34183673469388,3.52605175853959
2025-10-23 1:25:33.357,0.34948979591837,3.67233512737531
2025-10-23 1:25:34.358,0.34358974358974,3.54683193550718
2025-10-23 1:25:35.360,0.34860050890585,3.66830272058353
2025-10-23 1:25:36.361,0.34271099744246,3.68096186863996
2025-10-23 1:25:37.362,0.35128205128205,3.72306604448042
2025-10-23 1:25:38.363,0.33924050632911,3.55327970919106
2025-10-23 1:25:39.365,0.35204081632653,3.68521441903681
2025-10-23 1:25:40.366,0.33756345177665,3.58469131843230
2025-10-23 1:25:41.367,0.34936708860759,3.65934776021169
2025-10-23 1:25:42.368,0.33928571428571,3.63499805880388
